company,old_snapshot,new_snapshot,type,tier,detail,old_value,new_value
ActiveCampaign,2026-05-05,2026-05-13,ai_feature_added,starter,"AI features added: Conditional content, Predictive sending",['Active Intelligence (limits apply)'],"['Predictive sending', 'Conditional content', 'Active Intelligence (limits apply)']"
ActiveCampaign,2026-05-05,2026-05-13,ai_feature_added,enterprise,"AI features added: Win probability, AI brand kit, Lead scoring, Conditional content","['AI campaign follow-up', 'AI-powered automation builder', 'Predictive sending', 'AI reply suggestions', 'Predictive & conditional content', 'AI campaign builder', 'AI-suggested segments', 'Active Intelligence', 'AI content generation', 'AI image generation', 'AI campaign calendar', 'AI translations', 'AI conversation summaries', 'AI actions']","['Win probability', 'AI campaign follow-up', 'AI brand kit', 'Predictive sending', 'AI-powered automation builder', 'Lead scoring', 'AI campaign builder', 'AI-suggested segments', 'Active Intelligence', 'AI content generation', 'AI image generation', 'AI campaign calendar', 'Conditional content']"
ActiveCampaign,2026-05-05,2026-05-13,ai_feature_removed,enterprise,"AI features removed: AI reply suggestions, Predictive & conditional content, AI translations, AI conversation summaries, AI actions","['AI campaign follow-up', 'AI-powered automation builder', 'Predictive sending', 'AI reply suggestions', 'Predictive & conditional content', 'AI campaign builder', 'AI-suggested segments', 'Active Intelligence', 'AI content generation', 'AI image generation', 'AI campaign calendar', 'AI translations', 'AI conversation summaries', 'AI actions']","['Win probability', 'AI campaign follow-up', 'AI brand kit', 'Predictive sending', 'AI-powered automation builder', 'Lead scoring', 'AI campaign builder', 'AI-suggested segments', 'Active Intelligence', 'AI content generation', 'AI image generation', 'AI campaign calendar', 'Conditional content']"
ActiveCampaign,2026-05-05,2026-05-13,ai_feature_added,plus,"AI features added: AI brand kit, Predictive sending, AI content generation, AI-suggested segments, AI image generation, AI campaign calendar, Conditional content",['Active Intelligence (limits apply)'],"['AI brand kit', 'Predictive sending', 'AI content generation', 'AI-suggested segments', 'AI image generation', 'AI campaign calendar', 'Active Intelligence (limits apply)', 'Conditional content']"
ActiveCampaign,2026-05-05,2026-05-13,ai_feature_added,pro,"AI features added: Win probability, AI brand kit, Lead scoring, Conditional content","['AI campaign follow-up', 'AI-powered automation builder', 'Predictive sending', 'AI reply suggestions', 'Predictive & conditional content', 'AI campaign builder', 'AI-suggested segments', 'Active Intelligence', 'AI content generation', 'AI image generation', 'AI campaign calendar', 'AI translations', 'AI conversation summaries', 'AI actions']","['Win probability', 'AI campaign follow-up', 'AI brand kit', 'Predictive sending', 'AI-powered automation builder', 'Lead scoring', 'AI campaign builder', 'AI-suggested segments', 'Active Intelligence', 'AI content generation', 'AI image generation', 'AI campaign calendar', 'Conditional content']"
ActiveCampaign,2026-05-05,2026-05-13,ai_feature_removed,pro,"AI features removed: AI reply suggestions, Predictive & conditional content, AI translations, AI conversation summaries, AI actions","['AI campaign follow-up', 'AI-powered automation builder', 'Predictive sending', 'AI reply suggestions', 'Predictive & conditional content', 'AI campaign builder', 'AI-suggested segments', 'Active Intelligence', 'AI content generation', 'AI image generation', 'AI campaign calendar', 'AI translations', 'AI conversation summaries', 'AI actions']","['Win probability', 'AI campaign follow-up', 'AI brand kit', 'Predictive sending', 'AI-powered automation builder', 'Lead scoring', 'AI campaign builder', 'AI-suggested segments', 'Active Intelligence', 'AI content generation', 'AI image generation', 'AI campaign calendar', 'Conditional content']"
Adalysis,2026-05-05,2026-05-13,tier_removed,tier 2,Tier 'tier 2' was removed,None,N/A
Adalysis,2026-05-05,2026-05-13,tier_removed,tier 3,Tier 'tier 3' was removed,None,N/A
Adalysis,2026-05-05,2026-05-13,tier_added,starter,New tier 'starter' added,N/A,None
Adalysis,2026-05-05,2026-05-13,tier_added,professional,New tier 'professional' added,N/A,None
Adalysis,2026-05-05,2026-05-13,tier_removed,tier 1,Tier 'tier 1' was removed,None,N/A
Adalysis,2026-05-05,2026-05-13,tier_added,enterprise,New tier 'enterprise' added,N/A,None
Agorapulse,2026-05-05,2026-05-13,model_change,N/A,Pricing model changed from per_seat to hybrid,per_seat,hybrid
Agorapulse,2026-05-05,2026-05-13,ai_feature_added,custom,AI features added: AI-powered reply suggestions,"['Organization Context AI', 'AI reply suggestions', 'AI alt text generator', 'AI Writing Assistant', 'AI summary']","['AI reply suggestions', 'AI alt text generator', 'AI-powered reply suggestions', 'AI Writing Assistant', 'AI summary']"
Agorapulse,2026-05-05,2026-05-13,ai_feature_removed,custom,AI features removed: Organization Context AI,"['Organization Context AI', 'AI reply suggestions', 'AI alt text generator', 'AI Writing Assistant', 'AI summary']","['AI reply suggestions', 'AI alt text generator', 'AI-powered reply suggestions', 'AI Writing Assistant', 'AI summary']"
Agorapulse,2026-05-05,2026-05-13,ai_feature_added,advanced,AI features added: AI summary,"['Organization Context AI', 'AI alt text generator', 'AI Writing Assistant', 'AI reply suggestions']","['AI alt text generator', 'AI Writing Assistant', 'AI reply suggestions', 'AI summary']"
Agorapulse,2026-05-05,2026-05-13,ai_feature_removed,advanced,AI features removed: Organization Context AI,"['Organization Context AI', 'AI alt text generator', 'AI Writing Assistant', 'AI reply suggestions']","['AI alt text generator', 'AI Writing Assistant', 'AI reply suggestions', 'AI summary']"
Ahrefs,2026-05-05,2026-05-13,ai_feature_added,lite,"AI features added: Brand Radar, Custom Prompts","['Custom prompts', 'AI Content Helper']","['Brand Radar', 'Custom Prompts']"
Ahrefs,2026-05-05,2026-05-13,ai_feature_removed,lite,"AI features removed: Custom prompts, AI Content Helper","['Custom prompts', 'AI Content Helper']","['Brand Radar', 'Custom Prompts']"
Ahrefs,2026-05-05,2026-05-13,ai_feature_added,advanced,"AI features added: Brand Radar, Custom Prompts, AI suggestions",[],"['Brand Radar', 'Custom Prompts', 'AI suggestions']"
Ahrefs,2026-05-05,2026-05-13,ai_feature_added,standard,"AI features added: Brand Radar, Custom Prompts","['Keyword clusters', 'AI suggestions']","['Brand Radar', 'Custom Prompts', 'AI suggestions']"
Ahrefs,2026-05-05,2026-05-13,ai_feature_removed,standard,AI features removed: Keyword clusters,"['Keyword clusters', 'AI suggestions']","['Brand Radar', 'Custom Prompts', 'AI suggestions']"
Allego,2026-05-05,2026-05-13,ai_feature_added,modern content,AI features added: GenAI powered search and filtering,['GenAI-powered search and filtering'],['GenAI powered search and filtering']
Allego,2026-05-05,2026-05-13,ai_feature_removed,modern content,AI features removed: GenAI-powered search and filtering,['GenAI-powered search and filtering'],['GenAI powered search and filtering']
Allego,2026-05-05,2026-05-13,ai_feature_added,full suite,"AI features added: GenAI powered search and filtering, Automated coaching guidance, AI-generated highlights, AI-driven reinforcement drills","['Conversation Intelligence', 'GenAI-powered search', 'Automated coaching', 'AI-driven reinforcement']","['GenAI powered search and filtering', 'Automated coaching guidance', 'AI-generated highlights', 'AI-driven reinforcement drills']"
Allego,2026-05-05,2026-05-13,ai_feature_removed,full suite,"AI features removed: Conversation Intelligence, GenAI-powered search, Automated coaching, AI-driven reinforcement","['Conversation Intelligence', 'GenAI-powered search', 'Automated coaching', 'AI-driven reinforcement']","['GenAI powered search and filtering', 'Automated coaching guidance', 'AI-generated highlights', 'AI-driven reinforcement drills']"
Amplitude,2026-05-05,2026-05-13,ai_feature_removed,growth,AI features removed: AI Visibility (2500 prompts),"['Predictive audiences', 'AI Visibility (2500 prompts)']",['Predictive audiences']
Amplitude,2026-05-05,2026-05-13,ai_feature_removed,plus,"AI features removed: AI-powered analysis, AI Visibility (1000 prompts)","['AI-powered analysis', 'AI Visibility (1000 prompts)']",[]
Amplitude,2026-05-05,2026-05-13,ai_feature_added,enterprise,AI features added: AI-powered analysis,"['Predictive audiences', 'AI Visibility (5000 prompts)', 'Multi-armed Bandits']","['Predictive audiences', 'AI-powered analysis']"
Amplitude,2026-05-05,2026-05-13,ai_feature_removed,enterprise,"AI features removed: AI Visibility (5000 prompts), Multi-armed Bandits","['Predictive audiences', 'AI Visibility (5000 prompts)', 'Multi-armed Bandits']","['Predictive audiences', 'AI-powered analysis']"
Attio,2026-05-05,2026-05-13,model_change,N/A,Pricing model changed from per_seat to hybrid,per_seat,hybrid
Attio,2026-05-05,2026-05-13,ai_feature_added,plus,AI features added: Call Intelligence,"['AI agents', 'Ask Attio', 'Auto-labeling', 'Auto-summaries']","['Auto-labeling', 'Auto-summaries', 'AI agents', 'Call Intelligence', 'Ask Attio']"
Avoma,2026-05-05,2026-05-13,ai_feature_added,organization,"AI features added: Custom AI Email Templates, Smart Playlist & AI Automations","['Limited Conversation Intelligence', 'Custom AI Topics & Templates', 'Custom AI Notes', 'AI Automations']","['Custom AI Notes', 'Custom AI Topics & Templates', 'Custom AI Email Templates', 'Smart Playlist & AI Automations', 'Limited Conversation Intelligence']"
Avoma,2026-05-05,2026-05-13,ai_feature_removed,organization,AI features removed: AI Automations,"['Limited Conversation Intelligence', 'Custom AI Topics & Templates', 'Custom AI Notes', 'AI Automations']","['Custom AI Notes', 'Custom AI Topics & Templates', 'Custom AI Email Templates', 'Smart Playlist & AI Automations', 'Limited Conversation Intelligence']"
